timestamp,open,high,low,close,volume,trades,buy_volume,sell_volume,oi
2026-01-26 08:55:00,117890.0,117890.0,117890.0,117890.0,12,8,,12.0,52464.0
2026-01-26 09:00:00,117880.0,117900.0,116780.0,117000.0,2417,1624,852.0,1565.0,52176.0
2026-01-26 09:05:00,117010.0,117270.0,116990.0,117240.0,544,301,311.0,233.0,52074.0
2026-01-26 09:10:00,117240.0,117420.0,117240.0,117310.0,260,186,153.0,107.0,52086.0
2026-01-26 09:15:00,117270.0,117280.0,117070.0,117070.0,261,143,108.0,153.0,51986.0
2026-01-26 09:20:00,117070.0,117090.0,116650.0,116690.0,964,507,317.0,647.0,52264.0
2026-01-26 09:25:00,116670.0,116810.0,116580.0,116740.0,772,393,353.0,419.0,52198.0
2026-01-26 09:30:00,116740.0,116750.0,116530.0,116580.0,472,253,147.0,325.0,52290.0
2026-01-26 09:35:00,116580.0,116760.0,116550.0,116760.0,353,204,274.0,79.0,52170.0
2026-01-26 09:40:00,116760.0,116810.0,116730.0,116810.0,177,117,114.0,63.0,52114.0
2026-01-26 09:45:00,116810.0,116900.0,116710.0,116870.0,228,145,136.0,92.0,52056.0
2026-01-26 09:50:00,116870.0,116960.0,116720.0,116740.0,244,176,111.0,133.0,52176.0
2026-01-26 09:55:00,116740.0,116780.0,116520.0,116560.0,419,237,100.0,319.0,52206.0
2026-01-26 10:00:00,116560.0,116630.0,116150.0,116160.0,1827,998,565.0,1262.0,52154.0
2026-01-26 10:05:00,116150.0,116810.0,116100.0,116810.0,1334,772,857.0,477.0,51870.0
2026-01-26 10:10:00,116800.0,117010.0,116800.0,116840.0,1071,672,555.0,516.0,51802.0
2026-01-26 10:15:00,116840.0,117150.0,116840.0,116950.0,924,532,530.0,394.0,52074.0
2026-01-26 10:20:00,116950.0,117050.0,116940.0,116990.0,135,109,82.0,53.0,52050.0
2026-01-26 10:25:00,116980.0,117020.0,116870.0,116940.0,286,173,116.0,170.0,52066.0
2026-01-26 10:30:00,116950.0,116990.0,116910.0,116970.0,189,105,139.0,50.0,52088.0
2026-01-26 10:35:00,116970.0,116980.0,116670.0,116880.0,608,392,259.0,349.0,51884.0
2026-01-26 10:40:00,116900.0,116900.0,116740.0,116790.0,203,104,98.0,105.0,51830.0
2026-01-26 10:45:00,116800.0,116800.0,116420.0,116580.0,830,494,270.0,560.0,51900.0
2026-01-26 10:50:00,116560.0,116670.0,116490.0,116640.0,469,290,233.0,236.0,51726.0
2026-01-26 10:55:00,116620.0,116690.0,116550.0,116690.0,297,147,173.0,124.0,51674.0
2026-01-26 11:00:00,116660.0,116730.0,116570.0,116710.0,548,305,271.0,277.0,51582.0
2026-01-26 11:05:00,116700.0,116720.0,116580.0,116610.0,310,150,111.0,199.0,51440.0
2026-01-26 11:10:00,116600.0,116600.0,116420.0,116460.0,436,265,242.0,194.0,51476.0
2026-01-26 11:15:00,116470.0,116470.0,116270.0,116330.0,1325,375,273.0,1052.0,51096.0
2026-01-26 11:20:00,116310.0,116350.0,116230.0,116300.0,482,229,211.0,271.0,51256.0
2026-01-26 11:25:00,116290.0,116380.0,116040.0,116060.0,1020,530,336.0,684.0,50826.0
2026-01-26 11:30:00,116060.0,116060.0,115880.0,115910.0,815,395,289.0,526.0,50486.0
2026-01-26 11:35:00,115900.0,115900.0,115640.0,115760.0,1202,723,449.0,753.0,50056.0
2026-01-26 11:40:00,115760.0,115760.0,115620.0,115650.0,825,341,421.0,404.0,49588.0
2026-01-26 11:45:00,115630.0,115680.0,115580.0,115620.0,617,307,393.0,224.0,49582.0
2026-01-26 11:50:00,115610.0,115640.0,115560.0,115640.0,374,213,165.0,209.0,49676.0
2026-01-26 11:55:00,115620.0,115680.0,115310.0,115430.0,1673,792,662.0,1011.0,49326.0
2026-01-26 12:00:00,115440.0,115510.0,115310.0,115500.0,1030,622,491.0,539.0,49544.0
2026-01-26 12:05:00,115510.0,115540.0,115450.0,115500.0,274,175,152.0,122.0,49506.0
2026-01-26 12:10:00,115490.0,115630.0,115410.0,115480.0,540,349,291.0,249.0,49370.0
2026-01-26 12:15:00,115470.0,115550.0,115290.0,115350.0,765,417,329.0,436.0,49536.0
2026-01-26 12:20:00,115350.0,115560.0,115300.0,115550.0,482,232,278.0,204.0,49494.0
2026-01-26 12:25:00,115560.0,115590.0,115450.0,115520.0,299,153,138.0,161.0,49522.0
2026-01-26 12:30:00,115500.0,115510.0,115240.0,115310.0,633,352,268.0,365.0,49498.0
2026-01-26 12:35:00,115300.0,115410.0,115130.0,115170.0,790,389,223.0,567.0,49224.0
2026-01-26 12:40:00,115170.0,115180.0,115090.0,115140.0,807,376,475.0,332.0,49830.0
2026-01-26 12:45:00,115110.0,115180.0,115050.0,115080.0,890,350,305.0,585.0,50116.0
2026-01-26 12:50:00,115070.0,115080.0,115020.0,115050.0,492,225,107.0,385.0,50114.0
2026-01-26 12:55:00,115040.0,115070.0,115000.0,115000.0,312,193,101.0,211.0,50190.0
2026-01-26 13:00:00,115010.0,115120.0,115000.0,115110.0,452,231,237.0,215.0,50140.0
2026-01-26 13:05:00,115100.0,115130.0,115050.0,115070.0,123,95,51.0,72.0,50156.0
2026-01-26 13:10:00,115070.0,115120.0,115050.0,115060.0,98,69,37.0,61.0,50122.0
2026-01-26 13:15:00,115080.0,115170.0,115000.0,115130.0,402,229,225.0,177.0,50128.0
2026-01-26 13:20:00,115130.0,115330.0,115110.0,115330.0,480,300,340.0,140.0,50316.0
2026-01-26 13:25:00,115320.0,115320.0,115200.0,115200.0,210,136,55.0,155.0,50306.0
2026-01-26 13:30:00,115190.0,115190.0,115050.0,115160.0,292,178,116.0,176.0,50430.0
2026-01-26 13:35:00,115140.0,115140.0,115030.0,115100.0,299,124,170.0,129.0,50540.0
2026-01-26 13:40:00,115080.0,115210.0,115050.0,115180.0,288,158,217.0,71.0,50664.0
2026-01-26 13:45:00,115180.0,115200.0,115100.0,115170.0,270,178,129.0,141.0,50720.0
2026-01-26 13:50:00,115170.0,115450.0,115130.0,115370.0,822,401,566.0,256.0,50594.0
2026-01-26 13:55:00,115340.0,115340.0,115180.0,115250.0,192,128,70.0,122.0,50542.0
2026-01-26 14:05:00,115260.0,115310.0,115190.0,115270.0,167,136,88.0,79.0,50604.0
2026-01-26 14:10:00,115280.0,115340.0,115140.0,115180.0,309,170,79.0,230.0,50682.0
2026-01-26 14:15:00,115150.0,115210.0,115120.0,115130.0,157,111,51.0,106.0,50712.0
2026-01-26 14:20:00,115130.0,115140.0,115040.0,115140.0,422,205,111.0,311.0,50420.0
2026-01-26 14:25:00,115120.0,115170.0,115100.0,115170.0,192,103,162.0,30.0,50540.0
2026-01-26 14:30:00,115150.0,115160.0,115080.0,115150.0,217,108,37.0,180.0,50354.0
2026-01-26 14:35:00,115150.0,115170.0,115050.0,115110.0,604,240,239.0,365.0,50426.0
2026-01-26 14:40:00,115100.0,115120.0,115000.0,115110.0,382,195,134.0,248.0,50220.0
2026-01-26 14:45:00,115100.0,115150.0,114790.0,114790.0,1084,567,245.0,839.0,49906.0
2026-01-26 14:50:00,114790.0,114900.0,114740.0,114820.0,1129,655,424.0,705.0,49996.0
2026-01-26 14:55:00,114810.0,114990.0,114750.0,114930.0,634,385,332.0,302.0,49886.0
2026-01-26 15:00:00,114920.0,115070.0,114900.0,115020.0,398,229,201.0,197.0,49868.0
2026-01-26 15:05:00,115020.0,115130.0,114970.0,115000.0,259,159,92.0,167.0,49906.0
2026-01-26 15:10:00,115000.0,115120.0,114960.0,114960.0,228,156,137.0,91.0,49952.0
2026-01-26 15:15:00,115030.0,115080.0,114990.0,114990.0,122,102,103.0,19.0,49940.0
2026-01-26 15:20:00,114990.0,114990.0,114910.0,114970.0,174,107,55.0,119.0,49970.0
2026-01-26 15:25:00,114950.0,114970.0,114920.0,114960.0,103,67,58.0,45.0,50002.0
2026-01-26 15:30:00,114960.0,114960.0,114860.0,114880.0,192,81,64.0,128.0,50050.0
2026-01-26 15:35:00,114870.0,114920.0,114850.0,114890.0,474,171,393.0,81.0,50462.0
2026-01-26 15:40:00,114890.0,114920.0,114880.0,114890.0,124,53,49.0,75.0,50420.0
2026-01-26 15:45:00,114870.0,114870.0,114780.0,114850.0,298,163,110.0,188.0,50364.0
2026-01-26 15:50:00,114830.0,114930.0,114790.0,114900.0,259,152,202.0,57.0,50414.0
2026-01-26 15:55:00,114870.0,114900.0,114840.0,114880.0,139,101,86.0,53.0,50438.0
2026-01-26 16:00:00,114890.0,114930.0,114790.0,114890.0,170,118,92.0,78.0,50420.0
2026-01-26 16:05:00,114870.0,114880.0,114740.0,114870.0,285,195,162.0,123.0,50424.0
2026-01-26 16:10:00,114860.0,114920.0,114820.0,114900.0,198,137,83.0,115.0,50518.0
2026-01-26 16:15:00,114880.0,115120.0,114860.0,115100.0,440,275,301.0,139.0,50460.0
2026-01-26 16:20:00,115090.0,115370.0,115090.0,115280.0,1476,744,980.0,496.0,50314.0
2026-01-26 16:25:00,115260.0,115290.0,115110.0,115180.0,308,191,62.0,246.0,50264.0
2026-01-26 16:30:00,115190.0,115190.0,115040.0,115080.0,278,168,119.0,159.0,50266.0
2026-01-26 16:35:00,115090.0,115120.0,115040.0,115100.0,127,89,98.0,29.0,50318.0
2026-01-26 16:40:00,115120.0,115120.0,115000.0,115080.0,317,146,147.0,170.0,50442.0
2026-01-26 16:45:00,115090.0,115100.0,114940.0,115000.0,346,147,76.0,270.0,50604.0
2026-01-26 16:50:00,114970.0,115120.0,114940.0,115090.0,131,104,79.0,52.0,50634.0
2026-01-26 16:55:00,115090.0,115090.0,114960.0,114980.0,188,96,48.0,140.0,50628.0
2026-01-26 17:00:00,114970.0,115030.0,114510.0,114840.0,2256,1191,950.0,1306.0,50164.0
2026-01-26 17:05:00,114850.0,115090.0,114810.0,115090.0,548,309,349.0,199.0,50450.0
2026-01-26 17:10:00,115090.0,115300.0,115060.0,115160.0,992,456,551.0,441.0,50654.0
2026-01-26 17:15:00,115140.0,115220.0,115120.0,115210.0,137,101,98.0,39.0,50788.0
2026-01-26 17:20:00,115210.0,115230.0,115110.0,115140.0,347,151,146.0,201.0,50830.0
2026-01-26 17:25:00,115160.0,115270.0,115070.0,115090.0,302,113,173.0,129.0,50828.0
2026-01-26 17:30:00,115060.0,115090.0,114970.0,115030.0,192,146,57.0,135.0,50782.0
2026-01-26 17:35:00,115040.0,115230.0,115030.0,115160.0,337,231,202.0,135.0,50816.0
2026-01-26 17:40:00,115170.0,115210.0,115110.0,115140.0,120,86,76.0,44.0,50868.0
2026-01-26 17:45:00,115130.0,115160.0,114940.0,114940.0,311,198,72.0,239.0,50668.0
2026-01-26 17:50:00,114940.0,115080.0,114870.0,114930.0,261,186,146.0,115.0,50786.0
2026-01-26 17:55:00,114920.0,115180.0,114920.0,115150.0,230,168,157.0,73.0,50818.0
2026-01-26 18:00:00,115120.0,115180.0,114860.0,114900.0,218,173,77.0,141.0,50870.0
2026-01-26 18:05:00,114880.0,114890.0,114630.0,114710.0,911,535,352.0,559.0,50596.0
2026-01-26 18:10:00,114710.0,114800.0,114570.0,114600.0,530,251,169.0,361.0,50568.0
2026-01-26 18:15:00,114580.0,114640.0,114320.0,114500.0,1255,746,448.0,807.0,50270.0
2026-01-26 18:20:00,114480.0,114500.0,114380.0,114420.0,248,134,94.0,154.0,50222.0
2026-01-26 18:25:00,114400.0,114420.0,114250.0,114290.0,666,325,240.0,426.0,50162.0
2026-01-26 18:30:00,114270.0,114310.0,114050.0,114250.0,1560,857,575.0,985.0,50104.0
2026-01-26 18:35:00,114240.0,114310.0,114210.0,114270.0,332,166,223.0,109.0,50238.0
2026-01-26 18:40:00,114280.0,114480.0,114250.0,114470.0,553,228,372.0,181.0,49812.0
2026-01-26 18:45:00,114460.0,114490.0,114430.0,114440.0,175,97,60.0,115.0,49808.0
2026-01-26 19:05:00,114490.0,114580.0,114330.0,114420.0,247,205,131.0,116.0,49750.0
2026-01-26 19:10:00,114410.0,114580.0,114410.0,114510.0,191,94,69.0,122.0,49874.0
2026-01-26 19:15:00,114510.0,114620.0,114430.0,114610.0,100,74,48.0,52.0,49812.0
2026-01-26 19:20:00,114610.0,114610.0,114500.0,114550.0,92,76,31.0,61.0,49816.0
2026-01-26 19:25:00,114570.0,114600.0,114500.0,114500.0,31,30,12.0,19.0,49794.0
2026-01-26 19:30:00,114520.0,114580.0,114480.0,114570.0,33,29,19.0,14.0,49802.0
2026-01-26 19:35:00,114560.0,114560.0,114450.0,114460.0,54,39,30.0,24.0,49820.0
2026-01-26 19:40:00,114450.0,114480.0,114430.0,114480.0,51,33,13.0,38.0,49804.0
2026-01-26 19:45:00,114470.0,114490.0,114440.0,114490.0,50,33,25.0,25.0,49782.0
2026-01-26 19:50:00,114490.0,114530.0,114470.0,114490.0,87,42,44.0,43.0,49754.0
2026-01-26 19:55:00,114480.0,114490.0,114470.0,114480.0,25,16,17.0,8.0,49718.0
2026-01-26 20:00:00,114480.0,114650.0,114470.0,114630.0,107,74,86.0,21.0,49680.0
2026-01-26 20:05:00,114630.0,114950.0,114630.0,114740.0,750,502,519.0,231.0,49496.0
2026-01-26 20:10:00,114750.0,114870.0,114750.0,114810.0,151,95,95.0,56.0,49482.0
2026-01-26 20:15:00,114820.0,114900.0,114700.0,114870.0,304,206,236.0,68.0,49340.0
2026-01-26 20:20:00,114890.0,114930.0,114840.0,114880.0,124,93,50.0,74.0,49334.0
2026-01-26 20:25:00,114860.0,114910.0,114840.0,114900.0,62,45,36.0,26.0,49302.0
2026-01-26 20:30:00,114910.0,114940.0,114890.0,114940.0,51,31,29.0,22.0,49234.0
2026-01-26 20:35:00,114940.0,115060.0,114940.0,115020.0,393,149,197.0,196.0,49236.0
2026-01-26 20:40:00,115030.0,115040.0,114970.0,114980.0,69,39,19.0,50.0,49204.0
2026-01-26 20:45:00,114970.0,115000.0,114950.0,114950.0,96,49,20.0,76.0,49146.0
2026-01-26 20:50:00,114950.0,114980.0,114920.0,114930.0,51,32,28.0,23.0,49112.0
2026-01-26 20:55:00,114950.0,114950.0,114890.0,114900.0,24,20,7.0,17.0,49094.0
